  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
125660 99999 201701041700 240  27  38  56 BKN * * * 18.8 70 ** ** ** ** ** ** ** 8   36   28  997.2 *****  967.8 *** *** ***** ***** ***** ***** ** 
125660 99999 201701041730 240  29 ***  52 *** * * *  6.2 ** ** ** ** ** ** ** ** *   36   28 ****** 29.38 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041800 240  24  40  15 BKN * * *  3.1 85 10 ** ** ** ** ** ** 8   32   31  997.9 *****  968.3  37  32 ***** ***** *****  0.01 ** 
125660 99999 201701041830 240  23 ***  18 *** * * *  6.2 85 ** ** ** ** ** ** ** *   34   30 ****** 29.41 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041900 260  22  34  11 *** * * *  0.6 86 ** ** ** ** ** ** ** 8   32   30  998.4 *****  968.7 *** *** ***** ***** ***** ***** ** 
125660 99999 201701041930 270  22 ***  15 *** * * *  6.2 ** ** ** ** ** ** ** ** *   32   32 ****** 29.41 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701042000 260  22  38  15 BKN * * *  9.4 85 ** ** ** ** ** ** ** 8   33   30  999.1 *****  969.5 *** *** ***** ***** ***** ***** ** 
125660 99999 201701042030 270  25 ***  33 *** * * *  6.2 ** ** ** ** ** ** ** ** *   32   30 ****** 29.44 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701042100 260  22 ***  33 BKN * * * 18.8 26 ** ** ** ** ** ** ** 8   32   28  999.9 *****  970.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201701042130 270  24 ***  33 *** * * *  6.2 ** ** ** ** ** ** ** ** *   32   27 ****** 29.50 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701042200 270  20  36  33 BKN * * * 18.8 ** ** ** ** ** ** ** ** *   32   25 1001.6 *****  971.8 *** *** ***** ***** ***** ***** ** 
125660 99999 201701042230 260  15 ***  30 *** * * *  6.2 71 ** ** ** ** ** ** ** *   32   27 ****** 29.53 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701042300 270  18  25  26 BKN * * * 18.8 22 ** ** ** ** ** ** ** 7   32   27 1002.5 *****  972.7 *** *** ***** ***** ***** ***** ** 
125660 99999 201701042330 260  18 ***  33 *** * * *  6.2 71 ** ** ** ** ** ** ** *   32   27 ****** 29.56 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701050000 260  20  38  30 BKN * * * 18.8 22 ** ** ** ** ** ** ** 8   32   25 1003.4 *****  973.5 *** *** *****  0.01 ***** ***** ** 
125660 99999 201701050030 260  18 ***  30 *** * * *  6.2 ** ** ** ** ** ** ** ** *   32   23 ****** 29.59 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701050100 270  18 ***  33 BKN * * * 18.8 ** ** ** ** ** ** ** ** *   31   23 1004.4 *****  974.5 *** *** ***** ***** ***** ***** ** 
125660 99999 201701050130 250  17 ***  33 *** * * *  6.2 ** ** ** ** ** ** ** ** *   30   23 ****** 29.62 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701050200 270  16  27  30 OVC * * *  6.2 85 ** ** ** ** ** ** ** 2   30   25 1005.5 *****  975.5 *** *** ***** ***** ***** ***** ** 
125660 99999 201701050230 270  14 ***  30 *** * * *  6.2 ** ** ** ** ** ** ** ** *   30   25 ****** 29.62 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701050300 270  16 ***  23 OVC * * *  9.4 71 ** ** ** ** ** ** ** 8   30   25 1005.7 *****  975.7 *** *** ***** ***** ***** ***** ** 
125660 99999 201701050330 270  17 ***  23 *** * * *  6.2 71 ** ** ** ** ** ** ** *   30   23 ****** 29.65 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701050400 280  18 ***  23 OVC * * *  6.2 71 ** ** ** ** ** ** ** 7   29   24 1006.2 *****  976.1 *** *** ***** ***** ***** ***** ** 
125660 99999 201701050430 280  15 ***  23 *** * * *  6.2 71 ** ** ** ** ** ** ** *   28   23 ****** 29.68 ****** *** *** ***** ***** ***** ***** ** 
